Timestamp;Napon NTC;std NTC;Napon SHUNT;std SHUNT;Omjer napona sr. vr.;std Omjera ntc/shunt;Napon NTC [V];std NTC[V];Napon SHUNT[V];std SHUNT [V];Otpor;Utjecaj tolerancije shunta;Temperatura izracunata polinomom;STD Temperature polinomom;Temperatura izracunata exp.;STD temperature Exp.;Vrijeme obrade
2020-03-18 11:21:48:250263;3828672.23;137.7107361553256;1609651.23;1906.5051788732983;2.3785756069501702;0.0026522813091280494;2.282066754349083;0.000510383821621341;0.9594270121368185;0.0011363657749572118;23818.59179914791;57.73502691896258;23.073149124696272;0.7103981461032225;23.12410464168522;0.6913150800208983;0.005055885999999954
2020-03-18 11:22:48:288604;3818870.48;136.61966072685354;1618289.48;898.6415390786116;2.359819717861372;0.001188061182188823;2.276224455383355;0.0005685732466058648;0.9645758109779133;0.0005356321610242389;23630.33016751508;57.73502691896258;23.264730975811403;0.7111649984660504;23.310466324212882;0.6921208447658396;0.005425679000000017
2020-03-18 11:23:48:474357;3810450.7;135.59321640583613;1626888.11;899.0098919130845;2.342171939187043;0.0011719418732719542;2.2712058748252244;0.00043339081602356157;0.969700994455933;0.0005358517164489197;23453.19761559429;57.73502691896258;23.44657746463332;0.7118933676743386;23.48738859429301;0.6928924403089816;0.004859010999999969
2020-03-18 11:24:48:376120;3817044.12;136.4048072859456;1620051.44;843.047182498816;2.3561258302662207;0.0011768980048598434;2.2751358598632647;0.0004025688280741502;0.9656260211021924;0.0005024953383194707;23593.253723456608;57.73502691896258;23.3026656788349;0.7113169048170974;23.347371327556402;0.6922812625123648;0.005079687000000055
2020-03-18 11:25:48:472472;3818857.82;136.42303599448368;1620605.22;568.6370481469287;2.35643955316932;0.0009058047555457785;2.2762169094344267;0.0005009989463860957;0.965956099743378;0.000338934133013341;23596.402625526975;57.73502691896258;23.299441253890052;0.71130398834274;23.344234375842746;0.6922676123070982;0.005029688000000032
2020-03-18 11:26:48:324761;3818527.09;136.3676082387904;1621120.61;649.2204010903532;2.3554864750783633;0.0010075460135622512;2.2760197789692613;0.0004305472493081266;0.9662632961587068;0.0003869655600091608;23586.83638849813;57.73502691896258;23.309238440156093;0.7113432245768646;23.353765810000084;0.6923090841722499;0.004907292000000174
2020-03-18 11:27:48:330384;3824227.71;137.02174349828815;1615825.58;408.09582901147826;2.3667330855190083;0.0006391151506092531;2.27941761367531;0.0005448554570763891;0.9631072119602218;0.00024324409822243327;23699.72204943265;57.73502691896258;23.19391415829932;0.7108814634843943;23.241575238514315;0.6918221344068467;0.006962291999999981
2020-03-18 11:28:48:525071;3813372.97;135.8325469917327;1625281.0;1242.6609685784304;2.346286443368568;0.0015494927052468479;2.272947683685742;0.0005731711158464724;0.9687430821350911;0.0007406837443799849;23494.494753466064;57.73502691896258;23.404042143389688;0.711722960983524;23.446002409615232;0.6927113732079817;0.005283853999999977
2020-03-18 11:29:48:322069;3812533.78;135.90417706898438;1624076.24;3338.3717319384996;2.347515745763238;0.0034048516445454573;2.2724474874076233;0.0018210724286342966;0.9680249891310918;0.001989824849309605;23506.83328561778;57.73502691896258;23.39135015295409;0.7116721436393052;23.433653623303996;0.6926574392373557;0.005913751000000023
2020-03-18 11:30:48:365108;3827030.48;137.41766498966638;1612373.23;736.5835803275015;2.3735392444783296;0.0010208814037032023;2.28108819497683;0.0004906383785688445;0.9610494507610143;0.00043903807886547876;23768.038778810278;57.73502691896258;23.12442431200634;0.7106033209134928;23.173979445611224;0.6915300035830204;0.005881509999999812
2020-03-18 11:31:48:362687;3817700.81;136.18876435306794;1622888.34;620.1791891596063;2.3524115990633496;0.001029003073826871;2.2755272776517006;0.0005033774777357253;0.9673169454713995;0.00036965564673586824;23555.973362235814;57.73502691896258;23.340877368685426;0.7114699384067954;23.38454711381121;0.6924431393379021;0.004874636000000043
2020-03-18 11:32:48:460421;3816880.24;136.1152412319771;1623411.53;511.9186814960424;2.3511478350312287;0.0007543310968352266;2.2750381797597625;0.0005690583733019198;0.9676287910495748;0.00030512734801859374;23543.288814022868;57.73502691896258;23.35389446732944;0.7115220719112857;23.397211625397063;0.6924983472471822;0.004899583999999901
2020-03-18 11:33:48:354507;3821893.97;136.7050341684285;1618563.57;621.3215347917369;2.361287839370728;0.0008996182968836039;2.2780265960725066;0.0003641447884073394;0.9647391813682534;0.0003703365378731754;23645.066134697565;57.73502691896258;23.249672669824747;0.7111047001754207;23.29581712148297;0.6920572419008064;0.004944896000000032
2020-03-18 11:34:48:265627;3811488.96;135.4251749186558;1629342.11;1058.2506519361245;2.339281953170338;0.0017595249335294668;2.271824726083842;0.0007929573623109285;0.9711636926130883;0.0006307666171130228;23424.19112814892;57.73502691896258;23.47650454185714;0.7120132896638519;23.516508139451616;0.6930200635175641;0.005609010999999997
2020-03-18 11:35:48:240087;3818661.27;136.34266335513374;1621472.54;538.8031334037104;2.355057846036272;0.0008007306052769718;2.2760997564911554;0.0004372254058309009;0.9664730628100708;0.00032115173198822545;23582.534158303348;57.73502691896258;23.313646007064165;0.711360873147172;23.358053848398697;0.6923277444075979;0.0049793230000001465
2020-03-18 11:36:48:245244;3823861.96;137.0352364828331;1615513.34;735.661829699467;2.366964493314879;0.0011192250067188429;2.279199609661056;0.0004103202794215973;0.9629211023951891;0.0004384886726124296;23702.04478679129;57.73502691896258;23.191547800307944;0.7108719971113532;23.239273307490464;0.6918121768000209;0.005343490999999867
