5483974;0
5444682;2678424
5444953;2678613
5443878;2678000
5445011;2678476
5445314;2678625
5445240;2678246
5445399;2678365
5444164;2678573
5444244;2678396
5444977;2678549
5444875;2678509
5444974;2678384
5445331;2678357
5443543;2678476
5444760;2678196
5444138;2678400
5444561;2677999
5443942;2678418
5445097;2678176
5444674;2678606
5443636;2678117
5443908;2678027
5444330;2678017
5444775;2678775
5444527;2678415
5443449;2677583
5444710;2678279
5444446;2678453
5443473;2678273
5444511;2678054
5444553;2679010
5444703;2678831
5441664;2678842
5443867;2677062
2678256;2677062
5444336;2678755
5444042;2678090
5444641;2678850
5445138;2679083
5444112;2678213
5444602;2678759
5444565;2678520
5445041;2678491
5445069;2678568
5444360;2678633
5444299;2678336
5444597;2678316
5445467;2678521
5444251;2678024
5445253;2678655
5444566;2677802
5445024;2678477
5445720;2678671
5445490;2678443
5444270;2678062
5445176;2677891
5444081;2677936
5445409;2677895
5444686;2678364
5446004;2678090
5444045;2678009
5445112;2677813
5445898;2678288
5445884;2678240
5446053;2678262
5444919;2678342
5445286;2677797
5445581;2678088
5445323;2678143
5445374;2678012
5445204;2678055
5445249;2678059
5445112;2678027
5444341;2677994
5443478;2677595
5444100;2676796
5444438;2677718
5444616;2677834
5444760;2677690
5444772;2678052
5444570;2677952
5443963;2677800
5444295;2677865
5444466;2678231
5444664;2678101
5444525;2678283
5444036;2677221
5444663;2678096
5444244;2678229
5444192;2677950
5444240;2677964
5443997;2677418
5444227;2677643
5444630;2677782
5444615;2677797
5444971;2677835
5444512;2677640
5445301;2677927
5444634;2677253
5445145;2677758
5444242;2677150
5444846;2677852
5445288;2677654
5445831;2678124
5445444;2677907
5445160;2677637
5446007;2677771
5445802;2677779
5446023;2677982
5445310;2677456
5443671;2677574
5445844;2677496
5445529;2677490
5445421;2677590
5445676;2677891
5444411;2677688
5445231;2677360
5445449;2677878
5444996;2677613
5445425;2677769
5445275;2677767
5445315;2678083
5445604;2678107
5444922;2678021
5444479;2678000
5444190;2676816
5444580;2677616
5444566;2677386
5444656;2678016
5445334;2678127
5444501;2677632
5444626;2677673
5444193;2678069
5443839;2677384
5444314;2677844
5443649;2677144
5444044;2677884
5444644;2678062
5444371;2677094
5444735;2678123
5445046;2678267
5445171;2678317
5444921;2678144
5444316;2678123
5445059;2678175
5445000;2678112
5443770;2677712
5444510;2677748
5445550;2678222
5445352;2678064
5444602;2677268
5445257;2677917
5445694;2678273
5445417;2678107
5445838;2678464
5444721;2678088
5444994;2677745
5444123;2678034
5443867;2677043
5445578;2677754
5445164;2677859
5445270;2677960
5445580;2677875
5445581;2677997
5445423;2678114
5445003;2678325
5445339;2678168
5445163;2678285
5444619;2677979
5445208;2678422
5445471;2678342
5444662;2678090
5444637;2678386
5444716;2678280
5444701;2678448
5444479;2677851
5444862;2678478
5443928;2677937
5444600;2677892
5444750;2678558
5444269;2678334
2678207;2678334
5445063;2678635
5444501;2678739
5444796;2678673
5445057;2678726
5444918;2678822
5445082;2679195
5443854;2678090
5444701;2678657
5444194;2677877
5444970;2678752
5444028;2678618
5444042;2678354
5442660;2677538
5442956;2676911
5442521;2677363
5444820;2678044
5443286;2678004
5443954;2677884
5443247;2677184
5444305;2678236
5444372;2678123
5444519;2678267
5442755;2677516
5442916;2677440
5444483;2678020
5443419;2678180
5444575;2678058
5444677;2678054
5442234;2677749
5444517;2677932
5444858;2678102
5442494;2677583
5444348;2677497
5442580;2677542
5442573;2677202
5442519;2677044
5443089;2677229
5443225;2677768
5444929;2677973
5444472;2677974
5444600;2677978
5444220;2677717
5443164;2677906
5443773;2676934
5443484;2677796
5443072;2677259
5443800;2677529
5443598;2677848
5444037;2677682
5444075;2677964
5443461;2677968
5443249;2677861
5442222;2677562
5443582;2677199
5443861;2678128
5443683;2677995
5443683;2678278
5443273;2678030
5443999;2678142
5444128;2678431
5444280;2678241
5442973;2678089
5443850;2678162
5444072;2678341
5443934;2678632
5444074;2678449
5444387;2678272
5444262;2678385
5444372;2677672
5444549;2678101
5444737;2678645
5444835;2678362
5444332;2677918
5443333;2677460
